n_sq_vo,c_coinsee,c_desi,c_liaison,l_voie,l_courtmin,l_longmin,c_voie,b_fantoir,b_off,c_voie_vp,objectid,c_domoff,n_sq_co,length,geometry,sinuosity,azimuth,Route_Name,henge_time
750005249,75056,RUE,,LEGRAND,R. Legrand,Rue Legrand,750565483,O,O,5419,10006,P,750001537,,"LINESTRING (2.3742925352467443 48.87645767748236, 2.374377252651336 48.87640039207309, 2.3745472955117894 48.87639068648194, 2.3745779668290057 48.876387797988976, 2.374604419238667 48.87639561649053, 2.374780041569428 48.87660032270047)",1.1825959354900557,246.01566449970704,Rue Legrand,"['2025-02-06T17:51:11', '2025-11-04T17:19:39']"
750008398,75056,RUE,,LOUIS PUTEAUX,R. Louis Puteaux,Rue Louis Puteaux,750567892,O,O,7881,10038,P,750001537,,"LINESTRING (2.322066167623161 48.88256030319657, 2.3215021627273105 48.883786927388535, 2.3214742536351207 48.883826330836435)",1.000571158615829,342.91016793332363,Rue Louis Puteaux,
750003699,75056,PAS,,DEPAQUIT,Pas. Depaquit,Passage Depaquit,750562701,O,O,2714,10056,V,750001537,,"LINESTRING (2.3343470845645107 48.88764542244336, 2.334261849182535 48.88767645200708, 2.3338211077933484 48.88787302184154, 2.3337197711219537 48.8879356087648)",1.0017694770127386,305.1271709549451,Passage Depaquit,"['2025-06-01T20:39:44', '2025-06-02T20:40:40', '2025-07-08T20:48:13', '2025-07-09T20:47:38', '2025-07-10T20:46:59']"
750001316,75056,RUE,,JEAN MARIDOR,R. Jean Maridor,Rue Jean Maridor,750564915,O,O,4816,10093,P,750001537,,"LINESTRING (2.2847876723804057 48.8398473268732, 2.2858866629261096 48.83919430263264, 2.287674700092825 48.83813709431951)",1.0000005566817654,311.9873613023731,Rue Jean Maridor,
750001553,75056,RUE,DES,FAVORITES,R. des Favorites,Rue des Favorites,750563536,O,O,3558,10135,P,750001537,,"LINESTRING (2.3025127926226805 48.839926224803996, 2.303332623950939 48.83897619535808, 2.3035995291013753 48.83866243032501, 2.3038310903768124 48.83839036960118, 2.3042264086843725 48.83802906311626, 2.3043209750549414 48.83795975900997, 2.30562251174489 48.83704025881648, 2.3060568055330948 48.83672968094499, 2.3062042216768823 48.83672028325745, 2.3062783236771915 48.836683425099345)",1.01316495152673,322.60847073064565,Rue des Favorites,
750004730,75056,PL,DU,HUIT NOVEMBRE 1942,Pl. du Huit Novembre 1942,Place du Huit Novembre 1942,750564675,O,O,4596,10184,P,750001537,,"LINESTRING (2.3489545826257254 48.87717988460237, 2.349091892774805 48.87732210561686, 2.349293645483259 48.877373439266094)",1.0395748294892637,229.04234958920637,Place du Huit Novembre 1942,
750005407,75056,AV,,AMBROISE RENDU,Av. Ambroise Rendu,Avenue Ambroise Rendu,750560264,O,O,0268,10205,P,750001537,,"LINESTRING (2.3957575615513815 48.88343341026481, 2.3955350134806217 48.88399413131065, 2.3957194930086243 48.884334404768985, 2.3959065674221915 48.884666318208154, 2.3958397912142178 48.88516096030767, 2.395489051017712 48.88549135523746, 2.3951671711353724 48.88578926739845, 2.395268469381099 48.88635262054454)",1.1362862796378514,353.7131679363132,Avenue Ambroise Rendu,
750007070,75056,PL,,FERNAND MOURLOT,Pl. Fernand Mourlot,Place Fernand Mourlot,750563618,O,O,3630,10218,P,750001537,,"LINESTRING (2.324814607237404 48.841192133545434, 2.32295632956546 48.84185409567251)",1.0,298.4253714656083,Place Fernand Mourlot,"['2025-05-12T20:16:10', '2025-07-30T20:26:01']"
750002743,75056,CITE,DE LA,ROQUETTE,Cité de la Roquette,Cité de la Roquette,750568357,O,O,8326,10231,P,750001537,,"LINESTRING (2.3737503165188407 48.8552260795136, 2.374204775465337 48.85481962141334)",1.0,323.65904747658885,Cité de la Roquette,
750004429,75056,RUE,DES,QUATRE VENTS,R. des Quatre Vents,Rue des Quatre Vents,750567940,O,O,7950,10240,P,750001537,,"LINESTRING (2.3384064059319876 48.85172272989435, 2.3373970581833925 48.851753757343936, 2.3370505354174216 48.85176140700742)",1.0000071309187464,272.48281080701327,Rue des Quatre Vents,"['2025-03-24T19:04:35', '2025-09-18T18:51:42']"
750002672,75056,IMP,,SATAN,Imp. Satan,Impasse Satan,750568829,O,O,8470,10242,O,750001537,,"LINESTRING (2.402603282393528 48.85612432756223, 2.403117840060548 48.855780152054514)",1.0,315.4714375259887,Impasse Satan,
750000810,75056,RUE,,SAUFFROY,R. Sauffroy,Rue Sauffroy,750568832,O,O,8472,10243,P,750001537,,"LINESTRING (2.3202192843858103 48.8905759270999, 2.320315529392169 48.89062190741816, 2.3203636084625328 48.890662335240904, 2.321125453241157 48.89157886122895, 2.3212024423771926 48.8917054640638, 2.3212702847419338 48.8918013929575, 2.3226222438530733 48.89352522944536, 2.3226910269923695 48.893578579685176)",1.0040180276798711,208.42256592635886,Rue Sauffroy,
750005667,75056,IMP,DE LA,PLANCHETTE,Imp. de la Planchette,Impasse de la Planchette,750567514,O,O,7467,10271,P,750001537,,"LINESTRING (2.3552440270816457 48.86836190483365, 2.355358670747852 48.86836338571764, 2.3557459496315327 48.86829092454167)",1.0034247410027446,282.1329919771303,Impasse de la Planchette,"['2025-04-09T19:28:27', '2025-09-01T19:27:23']"
750005938,75056,RUE,DE,BIRAGUE,R. de Birague,Rue de Birague,750560978,O,O,0987,10399,P,750001537,,"LINESTRING (2.364853047279862 48.85391272564205, 2.3649008143553245 48.85402798833567, 2.3652581025178754 48.85489837912021, 2.365327265965401 48.85506645701101)",1.0000005110276808,195.13327357750183,Rue de Birague,
750003782,75056,RUE,DU,CONGO,R. du Congo,Rue du Congo,750562275,O,O,2278,10418,P,750001537,,"LINESTRING (2.3858619056799064 48.841194578426105, 2.386931257347078 48.84160444291063)",1.0,239.78443136703333,Rue du Congo,"['2025-01-23T17:28:06', '2025-11-18T17:00:47']"
750002995,75056,PL,,PASDELOUP,Pl. Pasdeloup,Place Pasdeloup,750567079,O,O,7005,10488,P,750001537,,"LINESTRING (2.366667311680993 48.86322936430203, 2.3671328859975693 48.86329389995477)",1.0,258.10127066728376,Place Pasdeloup,"['2025-02-28T18:27:28', '2025-10-12T18:01:26']"
750003042,75056,RUE,,MONGENOT,R. Mongenot,Rue Mongenot,750566434,O,O,6361,10493,P,750001537,,"LINESTRING (2.415115930135197 48.84324286873916, 2.414687418652834 48.84320366549029, 2.4145758503048556 48.84321102491251)",1.002022221395319,264.8807233271051,Rue Mongenot,"['2025-03-11T18:44:47', '2025-10-01T18:24:07']"
750000194,75056,VOIE,,CZ/19,Voie Cz/19,Voie Cz/19,75056A774,N,O,Y542,10505,P,750001537,,"LINESTRING (2.394800641988961 48.89271645661438, 2.3949252545228523 48.89244690422769, 2.3951313862850583 48.892265159196526, 2.3953263511117737 48.89210416762648, 2.395487826354741 48.891856753026524, 2.395601873885892 48.891439442298115, 2.395842396589606 48.89060406438934, 2.3959928889786877 48.890110683382744, 2.396138348212678 48.88957243648604, 2.3962424109538034 48.889209689718946, 2.3962866959269635 48.889009463412556, 2.3962939581801974 48.888860653433845, 2.3962665330958273 48.88873477210125, 2.396223478515275 48.88862190605313, 2.3961368590411602 48.888423762476485, 2.3960608319568912 48.88826011623577, 2.39604362321565 48.88812944795812, 2.396049272769209 48.88794806530013, 2.3962954523342868 48.88706619952273, 2.396308534597624 48.886595326224956)",1.0426559579120827,350.79897942391176,Voie Cz/19,
750005619,75056,RUE,,PORTEFOIN,R. Portefoin,Rue Portefoin,750567729,O,O,7703,10592,P,750001537,,"LINESTRING (2.3606279533001087 48.86330662109582, 2.3605810672291927 48.86332955571342, 2.3602650602163435 48.86348591779872, 2.359957648980959 48.8636447892128, 2.359647630078444 48.86379386100233, 2.3594995037000808 48.863870061242764, 2.3592209789819494 48.86403837555371, 2.359082122634987 48.86412770136816, 2.359026199781058 48.86416375337465)",1.0009834699341664,309.1267847370919,Rue Portefoin,
750001407,75056,RUE,,GUSTAVE ZEDE,R. Gustave Zédé,Rue Gustave Zédé,750564428,O,O,4379,10606,P,750001537,,"LINESTRING (2.273235928975816 48.856185706923675, 2.273123528666084 48.85616513936458, 2.2726344978030992 48.85568069557545, 2.2720508992145874 48.85508927992339)",1.0118021807116393,215.4181607331163,Rue Gustave Zédé,
750001156,75056,AV,,MARCEL PROUST,Av. Marcel Proust,Avenue Marcel Proust,750566005,O,O,5931,10615,P,750001537,,"LINESTRING (2.283500879385112 48.856856332906716, 2.2834009770086143 48.8568056674336, 2.2826279382966232 48.85623070763262, 2.282170481385196 48.85590343075787, 2.2820191725202066 48.855763760916425, 2.2818917442241866 48.85558442855304)",1.0061947579598527,219.77456729191556,Avenue Marcel Proust,
750003140,75056,IMP,DE LA,MARE,Imp. de la Mare,Impasse de la Mare,750566038,O,O,5963,10628,O,750001537,,"LINESTRING (2.3887942607811428 48.86965775240148, 2.3889167237468922 48.8694485263166, 2.389023844463459 48.869290834739225)",1.000555838639796,337.62898667389345,Impasse de la Mare,
